ID,Cost,CO2,Mean_DCR,Fit1(NormCost+CO2),Fit2(Mean_DCR)
Sol #1,"28,915,195","88,646",0.3736,0.3418,0.3736
Sol #2,"29,065,473","89,109",0.3729,0.3445,0.3729
Sol #3,"29,332,110","89,708",0.3697,0.3486,0.3697
Sol #4,"29,504,658","90,214",0.3695,0.3516,0.3695
Sol #5,"29,535,322","90,626",0.3663,0.3531,0.3663
Sol #6,"29,646,311","90,820",0.3623,0.3546,0.3623
Sol #7,"29,920,430","91,372",0.3592,0.3587,0.3592
Sol #8,"30,692,050","92,578",0.3566,0.3689,0.3566
Sol #9,"30,788,074","94,030",0.3557,0.3741,0.3557
Sol #10,"31,350,194","94,483",0.3553,0.3803,0.3553
Sol #11,"31,412,370","95,030",0.3474,0.3824,0.3474
Sol #12,"32,049,457","98,650",0.3425,0.3988,0.3425
Sol #13,"32,754,255","98,243",0.3410,0.4036,0.3410
Sol #14,"32,397,765","99,637",0.3408,0.4048,0.3408
Sol #15,"32,449,291","99,754",0.3396,0.4056,0.3396
Sol #16,"32,927,185","100,925",0.3371,0.4132,0.3371
Sol #17,"35,013,211","106,525",0.3252,0.4479,0.3252
Sol #18,"37,007,376","112,821",0.3116,0.4840,0.3116
Sol #19,"38,216,700","111,762",0.3059,0.4911,0.3059
Sol #20,"39,935,279","118,598",0.2906,0.5264,0.2906
Sol #21,"52,428,168","155,343",0.2637,0.7441,0.2637
